0,1,2,3,4
,Key Initiatives | Cost-effective Implementation,,,
,Assumptions,,,
,,,•,Co-investment provides significant cost
Committed,,"$1,000,000,000",,savings and helps limited partners capture
,,,,more of Private Equity’s returns
Gross multiple,,2.5x,,
,,,•,Each $1bn in co-invest is expected to save
Management fee,,1.25%,,
,,,,about $400mm in management fees and
,,,,carry over the life of PE investments under
Carry,,20%,,
,,,,realistic assumptions
Fund life,,10,,
,,,•,Based on CalPERS annual deployment
,,,,budget of $15.5bn and a co-invest ratio of
,,,,"40%, fee savings would be approximately"
,Savings versus fund economics,,,
,,,,$2.5bn over a 10-year period for each year
Management fee,,"$125,000,000",,of commitments
