0,1
Real Assets,
Real Estate,317
Infrastructure Partnerships,319
Forestland,320
Summary of Long-Term Care Investments,
"as of June 30, 2024",
Cash Equivalents,
Cash Equivalents,321
International Currency,322
Income,
U. S. Treasuries & Agencies,323
Foreign Issued Bonds,324
Mortgage-Backed Securities,330
Mortgage Loans,339
Asset-Backed Securities,340
Corporate Bonds,341
Public Equity,
Domestic Equity,386
International Equity,399
Domestic Real Estate Investment Trusts (REITs),449
International Real Estate Investment Trusts (REITs),452
