source_file,page_number,fund_name,nav,tvpi,dpi,irr,vintage_year,confidence_flag,notes
annual-investment-report-fy-2024.pdf,316,Nordic Bear SCSp,1390892108.0,,,,,high,annual_report_market_value_mapped_to_nav
annual-investment-report-fy-2024.pdf,314,"Grandval II, L.P.",1158242766.0,,,,,high,annual_report_market_value_mapped_to_nav
annual-investment-report-fy-2024.pdf,317,"Phoenix Bear Partners, L.P.",1039525185.0,,,,,high,annual_report_market_value_mapped_to_nav
annual-investment-report-fy-2024.pdf,317,"Silver Lake Strategic Investors VI, L.P.",952426398.0,,,,,high,annual_report_market_value_mapped_to_nav
annual-investment-report-fy-2024.pdf,316,"Moreton Bay SPV, L.P.",940098404.0,,,,,high,annual_report_market_value_mapped_to_nav
annual-investment-report-fy-2024.pdf,314,"Hellman & Friedman Capital Partners IX, L.P.",921611597.0,,,,,high,annual_report_market_value_mapped_to_nav
annual-investment-report-fy-2024.pdf,317,"Silver Lake Partners VI, L.P.",901332938.0,,,,,high,annual_report_market_value_mapped_to_nav
annual-investment-report-fy-2024.pdf,315,"Insight Venture Partners Growth-Buyout Coinvestment Fund (B), L.P.",866008054.0,,,,,high,annual_report_market_value_mapped_to_nav
annual-investment-report-fy-2024.pdf,314,General Atlantic Managed Account,864168782.0,,,,,high,annual_report_market_value_mapped_to_nav
annual-investment-report-fy-2024.pdf,319,Whitney Global Partners L.P.,846238963.0,,,,,high,annual_report_market_value_mapped_to_nav
annual-investment-report-fy-2024.pdf,313,EQT IX (No.2) USD SCSp,820478931.0,,,,,high,annual_report_market_value_mapped_to_nav
annual-investment-report-fy-2024.pdf,315,"LongRange Capital Fund I, L.P.",808043390.0,,,,,high,annual_report_market_value_mapped_to_nav
annual-investment-report-fy-2024.pdf,314,"Hellman & Friedman Capital Partners X, L.P.",780470270.0,,,,,high,annual_report_market_value_mapped_to_nav
annual-investment-report-fy-2024.pdf,318,"Sunshine Coast SPV, L.P.",773136586.0,,,,,high,annual_report_market_value_mapped_to_nav
annual-investment-report-fy-2024.pdf,313,CVC Capital Partners VII (A) L.P.,757641550.0,,,,,high,annual_report_market_value_mapped_to_nav
