source_name,source_file,report_date,page_number,fund_name,vintage_year,committed_capital,contributed_capital,distributed_capital,nav,tvpi,dpi,irr,currency,raw_row_text,extraction_method,confidence_flag,notes
CalPERS June 2024 Private Equity Item 05B-01-A,202406-invest-item05b-01-a.pdf,2024-03-31,2,"Private Equity Annual Program Review as of March 31, 2024",2024.0,,,,312024.0,,,,USD,"Private Equity Annual Program Review as of March 31, 2024",camelot_stream,medium,single_money_value_mapped_to_nav
CalPERS June 2024 Private Equity Item 05B-01-A,202406-invest-item05b-01-a.pdf,2024-03-31,3,"Private Equity Annual Program Review as of March 31, 2024",2024.0,,,,312024.0,,,,USD,"Private Equity Annual Program Review as of March 31, 2024",camelot_stream,medium,single_money_value_mapped_to_nav
CalPERS June 2024 Private Equity Item 05B-01-A,202406-invest-item05b-01-a.pdf,,3,CalPERS goals and objectives (IB 10),,,,,10.0,,,,USD,CalPERS goals and objectives (IB 10),camelot_stream,medium,single_money_value_mapped_to_nav
CalPERS June 2024 Private Equity Item 05B-01-A,202406-invest-item05b-01-a.pdf,2024-03-31,4,"As of March 31, 2024",2024.0,,,,312024.0,,,,USD,"As of March 31, 2024",camelot_stream,medium,single_money_value_mapped_to_nav
CalPERS June 2024 Private Equity Item 05B-01-A,202406-invest-item05b-01-a.pdf,,5,NAV by Strategy,,,,,1.0,,,,USD,NAV by Strategy | Primary Commitments by Fiscal Year and Strategy1,camelot_stream,medium,single_money_value_mapped_to_nav
CalPERS June 2024 Private Equity Item 05B-01-A,202406-invest-item05b-01-a.pdf,2024-03-31,5,"As of March 31, 2024",2024.0,,,,312024.0,,,,USD,"As of March 31, 2024",camelot_stream,medium,single_money_value_mapped_to_nav
CalPERS June 2024 Private Equity Item 05B-01-A,202406-invest-item05b-01-a.pdf,,5,Venture,,,,,9.0,,,0.09,USD,Venture | 9%,camelot_stream,medium,single_money_value_mapped_to_nav
CalPERS June 2024 Private Equity Item 05B-01-A,202406-invest-item05b-01-a.pdf,,5,"Opportunistic,",,,,,1.0,,,0.01,USD,"Opportunistic, | Capital, 1.0%",camelot_stream,medium,single_money_value_mapped_to_nav
CalPERS June 2024 Private Equity Item 05B-01-A,202406-invest-item05b-01-a.pdf,,5,"Buyout,",,,,,60.0,,,0.6,USD,"Buyout, | 60%",camelot_stream,medium,single_money_value_mapped_to_nav
CalPERS June 2024 Private Equity Item 05B-01-A,202406-invest-item05b-01-a.pdf,,5,Credit,,,,,20.0,,,0.2,USD,Credit | 20%,camelot_stream,medium,single_money_value_mapped_to_nav
CalPERS June 2024 Private Equity Item 05B-01-A,202406-invest-item05b-01-a.pdf,,5,"Related, 1.5%",,,,,,,,0.015,USD,"Related, 1.5% | 31%",camelot_stream,medium,ambiguous_money_columns_not_mapped
CalPERS June 2024 Private Equity Item 05B-01-A,202406-invest-item05b-01-a.pdf,,5,"Buyout, 27.0%",,,,,27.0,,,0.27,USD,"Buyout, 27.0%",camelot_stream,medium,single_money_value_mapped_to_nav
CalPERS June 2024 Private Equity Item 05B-01-A,202406-invest-item05b-01-a.pdf,,6,Emerging,,,,,0.1,,,0.001,USD,Emerging | 0.1%,camelot_stream,medium,single_money_value_mapped_to_nav
CalPERS June 2024 Private Equity Item 05B-01-A,202406-invest-item05b-01-a.pdf,,6,"Asia, 1.2%",,,,,1.2,,,0.012,USD,"Asia, 1.2%",camelot_stream,medium,single_money_value_mapped_to_nav
CalPERS June 2024 Private Equity Item 05B-01-A,202406-invest-item05b-01-a.pdf,,6,"Other, 1.3%",,,,,1.3,,,0.013,USD,"Other, 1.3%",camelot_stream,medium,single_money_value_mapped_to_nav
CalPERS June 2024 Private Equity Item 05B-01-A,202406-invest-item05b-01-a.pdf,,6,"Markets, 2.1%",,,,,2.1,,,0.021,USD,"Markets, 2.1%",camelot_stream,medium,single_money_value_mapped_to_nav
CalPERS June 2024 Private Equity Item 05B-01-A,202406-invest-item05b-01-a.pdf,2024-03-31,7,"Private Equity Annual Program Review as of March 31, 2024",2024.0,,,,312024.0,,,,USD,"Private Equity Annual Program Review as of March 31, 2024",camelot_stream,medium,single_money_value_mapped_to_nav
CalPERS June 2024 Private Equity Item 05B-01-A,202406-invest-item05b-01-a.pdf,2023-12-31,7,"As of December 31, 2023",2023.0,,,,312023.0,,,,USD,"As of December 31, 2023",camelot_stream,medium,single_money_value_mapped_to_nav
CalPERS June 2024 Private Equity Item 05B-01-A,202406-invest-item05b-01-a.pdf,,7,"• In 2021, CalPERS approved increasing the PE target from 8% to 13%",2021.0,,,,2021813.0,,,20218.13,USD,"• In 2021, CalPERS approved increasing the PE target from 8% to 13%",camelot_stream,medium,single_money_value_mapped_to_nav
CalPERS June 2024 Private Equity Item 05B-01-A,202406-invest-item05b-01-a.pdf,,7,"• In 2024, CalPERS approved an increase from 13% to 17%",2024.0,,,,20241317.0,,,202413.17,USD,"• In 2024, CalPERS approved an increase from 13% to 17%",camelot_stream,medium,single_money_value_mapped_to_nav
CalPERS June 2024 Private Equity Item 05B-01-A,202406-invest-item05b-01-a.pdf,2023-12-31,7,"Source: PEARS as of December 31, 2023",2023.0,,,,312023.0,,,,USD,"Source: PEARS as of December 31, 2023",camelot_stream,medium,single_money_value_mapped_to_nav
CalPERS June 2024 Private Equity Item 05B-01-A,202406-invest-item05b-01-a.pdf,,8,Deployment Themes Since Nov. 2022:,2022.0,,,,0.2022,,,,USD,Deployment Themes Since Nov. 2022:,camelot_stream,medium,single_money_value_mapped_to_nav
CalPERS June 2024 Private Equity Item 05B-01-A,202406-invest-item05b-01-a.pdf,2024-03-31,9,"Time Weighted Rates of Return (As of March 31, 2024)",2024.0,,,,312024.0,,,,USD,"Time Weighted Rates of Return (As of March 31, 2024)",camelot_stream,medium,single_money_value_mapped_to_nav
